,international_reputation,weak_foot,skill_moves,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,Attack_workrate,Defend_workrate,Positon_General,preferred_foot_Left,preferred_foot_Right,body_type_Akinfenwa,body_type_C. Ronaldo,body_type_Courtois,body_type_Lean,body_type_Messi,body_type_Neymar,body_type_Normal,body_type_PLAYER_BODY_TYPE_25,body_type_Shaqiri,body_type_Stocky,height_cm,weight_kg,age
77,1,3,2,40,38,83,74,44,56,45,49,61,72,83,78,77,85,68,53,69,76,73,41,86,82,38,42,56,71,84,85,76,58,40,64,56,43,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,185,80,27
78,1,2,2,72,48,77,69,34,70,60,40,68,71,78,80,69,81,67,62,86,88,77,42,83,82,64,59,60,74,81,82,80,11,8,15,12,15,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,186,78,21
79,2,4,3,62,42,79,79,38,71,64,59,78,76,72,76,67,82,62,70,80,76,78,52,81,81,51,70,54,83,82,83,79,12,16,8,7,9,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,187,80,24
80,2,3,4,80,61,52,81,58,79,80,49,75,81,83,87,83,82,80,62,52,83,61,59,76,77,74,75,52,76,75,80,82,13,10,9,12,9,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,172,66,24
81,2,2,3,79,44,75,78,54,82,76,58,71,80,81,83,75,80,74,70,79,81,75,54,82,81,73,74,53,76,80,82,79,10,12,13,7,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,181,75,23
82,2,3,2,39,40,86,69,33,53,28,32,57,59,51,53,48,75,56,39,90,68,85,29,80,79,36,42,41,70,79,85,80,15,12,15,10,6,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,186,83,26
83,2,3,2,68,55,85,77,53,62,44,42,71,72,54,69,55,79,49,74,65,74,82,46,69,80,55,69,67,71,83,84,77,12,10,6,8,10,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,191,89,25
84,1,4,2,35,19,81,64,38,62,26,26,64,66,69,67,64,80,66,56,76,65,77,44,81,83,16,33,37,76,83,84,82,12,6,10,11,12,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,183,78,27
85,3,2,2,77,52,80,74,61,65,82,79,77,62,65,70,51,74,43,80,65,78,87,74,72,82,58,58,78,76,86,83,83,13,14,10,9,5,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,189,84,35
86,3,3,2,52,37,81,76,35,62,31,49,70,68,58,61,58,77,61,54,78,63,75,47,86,84,41,56,51,75,81,83,83,13,11,9,11,7,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,186,75,33
87,2,2,2,46,38,84,67,27,52,30,35,53,60,46,63,35,75,34,58,76,55,89,37,83,81,30,49,57,71,84,83,75,7,16,11,16,7,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,192,86,33
88,3,3,2,36,40,82,68,34,58,33,32,58,64,34,38,58,73,54,39,72,60,82,29,84,80,42,55,43,73,81,83,80,7,11,16,10,6,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,187,81,35
89,3,4,2,82,64,79,77,64,72,80,47,72,76,74,79,66,82,66,78,82,75,78,69,83,83,73,71,65,82,82,83,78,14,11,14,6,12,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,184,79,34
90,3,3,2,56,51,84,70,45,62,48,52,66,65,52,52,60,78,61,57,78,63,78,31,78,81,51,57,56,84,82,83,81,14,6,9,10,7,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,188,77,31
91,3,3,2,60,33,77,72,64,68,37,28,70,72,70,70,66,78,74,58,83,64,77,46,79,83,54,63,50,78,82,83,78,6,7,6,15,7,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,184,77,29
92,2,3,3,83,68,83,83,70,78,85,86,73,83,68,65,64,82,58,84,72,91,76,77,75,79,77,69,64,75,75,81,78,9,7,13,9,12,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,188,87,28
93,2,3,3,83,58,77,80,54,75,78,42,75,79,66,69,66,78,60,76,77,88,80,67,81,79,70,72,43,77,83,84,80,14,6,7,12,8,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,185,80,28
94,3,3,4,77,70,72,77,87,78,73,79,75,79,85,79,87,80,82,82,74,89,63,82,79,79,82,76,76,80,76,79,78,9,8,10,11,10,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,173,67,28
95,1,3,2,40,56,80,67,63,60,72,58,58,64,67,74,61,76,63,74,91,60,77,61,86,82,58,50,62,70,83,82,82,58,62,54,71,48,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,181,82,35
96,1,3,3,69,26,71,74,24,67,41,29,62,70,76,85,64,79,66,41,66,74,79,26,73,81,51,56,26,72,79,82,78,8,13,14,7,7,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,188,77,22
97,2,3,2,49,36,80,77,25,66,32,22,71,73,65,70,61,78,61,31,73,68,73,20,73,82,32,62,36,77,80,84,82,10,12,8,6,8,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,187,81,23
98,1,3,2,71,42,75,77,41,66,68,55,76,76,75,82,75,80,65,65,86,76,75,46,81,81,64,65,45,76,76,80,80,13,8,10,5,8,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,184,75,24
99,2,3,2,34,36,82,63,51,62,20,24,58,63,62,65,58,77,59,38,76,64,78,20,76,82,34,32,30,74,85,84,80,14,9,6,9,5,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,187,80,25
100,1,5,4,74,63,69,77,50,80,72,35,76,76,90,88,80,82,78,69,78,88,78,64,78,75,80,73,49,78,73,78,77,7,16,9,10,9,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,180,73,24
101,1,4,2,34,29,82,71,30,57,33,26,58,63,63,64,48,76,56,74,77,86,79,22,92,76,39,34,45,79,84,83,77,7,8,13,7,12,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,186,82,22
102,3,3,3,76,52,60,76,41,77,63,50,59,78,94,90,79,78,77,52,64,77,58,43,72,78,67,66,62,70,75,78,80,8,14,14,13,12,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,178,74,24
103,2,3,3,87,33,65,80,31,79,80,34,69,78,76,85,68,80,66,79,71,75,79,65,75,78,73,76,50,79,77,79,80,7,7,9,15,9,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,185,85,24
104,1,3,3,81,45,73,77,48,76,69,30,70,77,88,90,79,77,78,58,71,85,64,59,63,75,68,63,62,69,77,78,79,11,12,10,5,14,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,176,66,23
105,2,3,2,49,47,79,63,47,50,60,59,64,63,58,69,51,75,52,63,90,63,92,49,83,78,49,60,59,69,76,81,78,14,14,7,9,15,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,190,96,24
106,1,3,2,63,48,76,77,52,69,62,59,73,74,75,75,73,79,69,63,86,75,78,56,74,81,51,66,53,76,82,82,81,10,7,7,16,10,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,180,75,24
107,2,3,3,75,47,66,77,40,73,40,30,70,77,78,79,75,79,69,68,68,87,67,43,79,80,63,59,40,76,77,81,80,12,6,14,9,11,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,182,70,25
108,2,3,2,48,41,75,74,55,53,56,50,66,72,61,63,53,76,75,69,77,68,75,43,80,83,39,34,61,78,80,80,85,12,9,8,12,11,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,183,78,24
109,3,3,3,86,59,64,78,67,76,82,84,78,78,70,70,72,80,70,78,73,75,73,72,75,80,68,74,83,80,80,78,78,14,13,14,14,11,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,180,77,26
110,1,3,2,78,41,83,79,49,67,67,49,77,75,67,66,73,78,64,52,81,66,75,49,69,82,67,68,35,74,79,81,82,15,16,9,10,14,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,184,78,27
111,2,3,4,82,60,53,82,59,84,78,51,73,86,84,80,86,83,88,62,73,80,57,62,71,78,79,78,53,79,73,79,78,8,9,12,11,16,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,170,67,26
112,2,3,2,60,50,81,70,40,66,53,33,69,68,56,63,56,76,60,58,83,68,86,46,73,77,29,56,48,73,80,81,82,16,7,8,14,11,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,191,82,26
113,2,3,3,51,33,79,67,42,60,46,43,56,62,72,79,67,72,61,55,84,65,86,48,85,80,47,55,46,74,77,80,81,14,14,10,9,8,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,186,77,25
114,1,2,2,45,35,77,80,37,59,49,46,77,72,65,63,57,78,52,45,86,68,78,47,73,82,52,59,41,68,80,82,79,15,16,11,11,7,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,185,80,27
115,2,3,2,53,48,80,63,49,54,58,63,81,63,63,72,62,73,62,83,86,72,83,71,82,76,61,65,61,70,80,84,81,14,14,9,13,10,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,184,83,26
