,short_name,Position,overall,value_eur
231,F. Acerbi,CB,83,19000000
235,Josué Chiamulera,CB,83,23500000
246,P. Kimpembe,CB,82,26500000
249,Nélson Semedo,RB,82,26000000
252,D. Rugani,CB,82,26000000
260,J. Matip,CB,82,23000000
262,S. Savić,CB,82,22500000
263,A. Rüdiger,CB,82,24000000
265,Ricardo Pereira,RB,82,23500000
266,N. Tagliafico,LB,82,23500000
274,Sergi Roberto,RB,82,22000000
275,N. Schulz,LWB,82,22500000
277,Nacho Fernández,CB,82,21000000
278,Gabriel Paulista,CB,82,21500000
279,J. Roussillon,LB,82,22500000
280,H. Maguire,CB,82,23000000
297,S. Kjær,CB,82,18000000
299,V. Ćorluka,CB,82,10500000
303,A. Kolarov,LB,82,10000000
314,Mário Fernandes,RWB,82,19000000
315,S. Coates,CB,82,19500000
317,T. Meunier,RB,82,20000000
325,Juiano Mestres,CB,82,6500000
327,E. Schetino,CB,82,0
332,Éder Militão,CB,81,23000000
335,V. Lindelöf,CB,81,22000000
339,Gayà,LB,81,21000000
347,L. Shaw,LB,81,20000000
352,W. Orban,CB,81,19000000
356,M. Ginter,CB,81,19500000
360,A. Izzo,CB,81,18500000
370,J. Mathieu,CB,81,5500000
377,L. Koscielny,CB,81,8500000
378,Jardel,CB,81,8500000
380,José Fonte,CB,81,5500000
382,L. Piszczek,RB,81,6000000
387,B. Höwedes,CB,81,13000000
395,N. Nkoulou,CB,81,15000000
397,Marcos Alonso,LB,81,15000000
399,André Almeida,RB,81,15000000
400,A. Florenzi,RB,81,15000000
407,J. Frendado,CB,81,0
413,J. Gomez,CB,80,20000000
414,A. Christensen,CB,80,19000000
417,Mario Hermoso,CB,80,19000000
419,M. Caldara,CB,80,18000000
424,F. Mendy,LB,80,18000000
426,Rúben Dias,CB,80,18500000
428,Héctor Bellerín,RB,80,17500000
429,B. Mendy,LB,80,17500000
437,Odriozola,RB,80,17500000
440,K. Zouma,CB,80,17500000
442,N. Aké,CB,80,17500000
443,E. Hysaj,RB,80,17000000
448,Yeray,CB,80,17500000
450,R. Rodríguez,LB,80,16000000
453,A. Mandi,CB,80,16000000
455,Bernat,LB,80,16000000
457,M. Keane,CB,80,16500000
462,E. Bailly,CB,80,16500000
468,Sergi Gómez,CB,80,15500000
470,M. Hinteregger,CB,80,16000000
471,M. Nastasić,CB,80,16000000
476,P. Kadeřábek,RWB,80,14500000
478,Iñigo Martínez,CB,80,14500000
483,M. Halstenberg,LB,80,14500000
497,L. Perrin,CB,80,7000000
502,S. Radu,CB,80,9500000
503,D. Rose,LB,80,12500000
506,Naldo,CB,80,3000000
514,L. Bender,RB,80,11500000
515,S. Bender,CB,80,12000000
517,Antunes,LB,80,9000000
519,F. Fazio,CB,80,9500000
520,M. Hasebe,CB,80,4500000
521,Sidnei,CB,80,12500000
525,K. Trippier,RB,80,12500000
526,M. Musacchio,CB,80,13000000
534,C. Smalling,CB,80,12500000
535,K. Glik,CB,80,11000000
538,K. Vogt,CB,80,13500000
542,D. Lovren,CB,80,12500000
545,D. Vida,CB,80,12000000
549,Ismaily,LB,80,12000000
550,F. Ghoulam,LB,80,12500000
551,S. Sané,CB,80,13000000
553,S. Vrsaljko,RB,80,13000000
564,Welington Dano,LB,80,10500000
567,M. Nérez,LB,80,0
571,A. Wan-Bissaka,RB,79,17500000
573,I. Konaté,CB,79,18000000
582,T. Kehrer,CB,79,16000000
585,A. Hakimi,LB,79,16000000
588,D. Zagadou,CB,79,16000000
593,J. Denayer,CB,79,15500000
594,L. Klostermann,RB,79,15500000
596,A. Diallo,CB,79,15500000
597,B. Pavard,CB,79,15500000
599,B. Chilwell,LB,79,15500000
602,Junior Firpo,LB,79,15500000
606,N. Stark,CB,79,15000000
610,Angeliño,LB,79,15000000
618,Jonny,LWB,79,14500000
621,L. Dubois,RB,79,14500000
623,L. Cabrera,CB,79,13500000
625,J. Murillo,CB,79,13500000
626,J. Tarkowski,CB,79,14000000
629,J. Brooks,CB,79,14000000
632,S. Kolašinac,LB,79,13500000
633,F. Schär,CB,79,13500000
637,R. Aguilar,RB,79,13500000
638,F. Balbuena,CB,79,13500000
639,S. Mustafi,CB,79,13000000
640,G. Pezzella,CB,79,12500000
641,D. da Costa,RWB,79,13500000
642,W. Boly,CB,79,12500000
643,B. Davies,LB,79,13500000
646,Diego Carlos,CB,79,13500000
650,M. Sakho,CB,79,12000000
653,Laguardia,CB,79,12000000
654,P. Jones,CB,79,12500000
655,S. Aurier,RB,79,13000000
657,K. Lala,RWB,79,12500000
658,S. Arias,RB,79,12500000
662,J. Veltman,CB,79,12500000
663,D. Zappacosta,RB,79,12500000
669,Dante,CB,79,3800000
670,M. Debuchy,RB,79,5500000
673,M. Škrtel,CB,79,4700000
674,J. Evans,CB,79,9500000
676,N. Moisander,CB,79,6000000
677,D. Criscito,LB,79,8000000
679,Marcano,CB,79,8000000
683,Nacho Monreal,LB,79,5500000
688,S. Coleman,RB,79,10000000
692,Yuri Berchiche,LB,79,10500000
693,Mariano,RB,79,5500000
694,O. Toprak,CB,79,10500000
698,K. Asamoah,LB,79,10000000
705,Cote,LB,79,10500000
708,Maicon,CB,79,10000000
712,Escudero,LB,79,10500000
713,Mario Gaspar,RB,79,11000000
715,Víctor Ruiz,CB,79,10000000
720,D. Caligiuri,RWB,79,9000000
721,Danilo,RB,79,11000000
722,N. Pallois,CB,79,9500000
727,D. Suárez,RB,79,9000000
729,Mário Rui,LB,79,11000000
734,J. Hector,LB,79,10500000
735,Rubén Peña,RB,79,11000000
738,L. Sigali,CB,79,8000000
739,Raúl,CB,79,10500000
744,Maikel Catarino,RB,79,3600000
745,Antônio Chiamuloira,CB,79,9500000
749,D. Lenzado,CB,79,0
758,Ferro,CB,78,14500000
759,J. Andersen,CB,78,14000000
761,I. Diop,CB,78,14000000
768,O. Zinchenko,LB,78,13000000
774,N. Elvedi,CB,78,13000000
777,G. Dzhikiya,CB,78,12500000
778,Aarón Martín,LB,78,12500000
781,Calero,CB,78,13000000
793,Rúben Vezo,CB,78,12500000
795,Y. Mina,CB,78,12500000
800,J. Lascelles,CB,78,12000000
803,K. Rekik,CB,78,12000000
810,G. Maripán,CB,78,12000000
812,D. Dumfries,RB,78,12000000
813,Bruno Viana,CB,78,12000000
815,A. Soumaoro,CB,78,11000000
822,R. Saravia,RB,78,11500000
827,Rafael Tolói,CB,78,10500000
828,S. Duffy,CB,78,11000000
829,F. Lejeune,CB,78,10500000
830,L. Dunk,CB,78,11000000
831,Pedro Mendes,CB,78,10500000
834,C. Hérelle,CB,78,11000000
837,S. Deli,CB,78,11000000
838,M. Ngadeu,CB,78,10500000
840,C. Kabasele,CB,78,10000000
846,M. Doherty,RWB,78,10500000
847,David López,CB,78,10000000
851,J. Vestergaard,CB,78,11000000
857,N. Maksimović,CB,78,10500000
858,Capa,RB,78,10500000
859,Bastos,CB,78,10500000
866,J. Pinola,CB,78,2100000
868,Hilton,CB,78,0
870,A. Granqvist,CB,78,3800000
872,T. Vermaelen,CB,78,4900000
873,D. Abraham,CB,78,6500000
876,A. Masiello,CB,78,4900000
877,R. Bertrand,LB,78,8500000
884,Coke,RB,78,6500000
888,H. Moreno,CB,78,0
889,J. Tomkins,CB,78,8500000
893,C. Zapata,CB,78,6500000
897,D. Da Silva,CB,78,7500000
898,Marcelo,CB,78,6500000
901,M. Cáceres,CB,78,6500000
902,J. Holebas,LB,78,2900000
906,D. Schwaab,CB,78,8500000
924,Daniel Carriço,CB,78,8500000
927,B. Hübner,CB,78,8500000
930,Rafael,RB,78,9000000
931,B. Mee,CB,78,8500000
932,De Marcos,RB,78,8000000
934,N. Clyne,RB,78,9000000
940,S. Cook,CB,78,9000000
941,Jaume Costa,LB,78,7500000
945,Hugo Mallo,RB,78,9000000
951,B. Stambouli,CB,78,9000000
952,K. Malcuit,RB,78,9000000
957,M. Rojo,CB,78,8500000
958,Naldo,CB,78,8500000
959,J. Gouweleeuw,CB,78,9500000
961,Álvaro,CB,78,8500000
965,Z. Feddal,CB,78,8500000
970,H. Sakai,RB,78,8500000
972,F. Fabra,LB,78,9000000
974,C. Izquierdoz,CB,78,8500000
975,A. Donatti,CB,78,6500000
978,Marcelo Goiano,RB,78,7500000
984,Ronaldo Esler,LB,78,7500000
986,Everticinho,RB,78,7500000
989,E. Guichón,LB,78,0
990,G. Quintana,RB,78,0
992,D. Upamecano,CB,77,14000000
994,D. Calabria,RB,77,13000000
1001,Luiz Felipe,CB,77,12500000
1002,Y. Atal,RB,77,12500000
1005,Jorge Meré,CB,77,12000000
1006,N. Mukiele,CB,77,12000000
1010,L. Martínez,CB,77,12000000
1012,Reguilón,LB,77,11500000
1013,Renan Lodi,LB,77,12000000
1023,J. Mæhle,RB,77,11000000
1024,N. Mazraoui,RB,77,11000000
1025,F. Bustos,RB,77,11000000
1031,K. Mbabu,RB,77,11000000
1033,J. Bednarek,CB,77,11000000
1037,Vallejo,CB,77,11000000
1043,M. Weiser,RB,77,10500000
1045,Emerson,LB,77,10500000
1047,A. Djiku,CB,77,10500000
1048,Diego Llorente,CB,77,10500000
1055,K. Tete,RB,77,10500000
1058,O. Colley,CB,77,10500000
1061,M. Diakhaby,CB,77,10500000
1067,C. Salcedo,CB,77,10500000
1069,R. Bensebaini,LB,77,10000000
1070,Aritz Elustondo,CB,77,10500000
1077,K. Ayhan,CB,77,10000000
1079,P. Max,LB,77,10000000
1080,B. Mechele,CB,77,10000000
1084,Wendell,LB,77,10000000
1085,Pedro Henrique,CB,77,10000000
1091,C. Luyindama,CB,77,10000000
1092,S. Aziz,CB,77,9000000
1095,C. Piccini,RB,77,9500000
1096,C. Coady,CB,77,9500000
1097,R. Knoche,CB,77,9500000
1103,S. Lainer,RB,77,9500000
1108,M. Plattenhardt,LB,77,9000000
1113,R. Funes Mori,CB,77,8500000
1116,Bruno,CB,77,8500000
1117,D. Sidibé,RB,77,9000000
1118,Pablo,CB,77,8500000
1119,L. Kurzawa,LB,77,9000000
1122,M. De Sciglio,RB,77,9000000
1135,Iván Ramis,CB,77,3300000
1139,G. Clichy,LB,77,4000000
1140,A. Young,RB,77,4000000
1141,R. Civelli,CB,77,2700000
1149,G. Cahill,CB,77,4200000
1151,Danilo,CB,77,2700000
1164,M. Layún,RB,77,6500000
1166,Varela,CB,77,6500000
1168,M. Suchý,CB,77,6500000
1169,S. De Maio,CB,77,5500000
1170,P. Aguilar,CB,77,5500000
1172,F. Delph,LB,77,7500000
1173,N. Subotić,CB,77,7000000
1176,A. Ogbonna,CB,77,6500000
1189,D. Janmaat,RB,77,7500000
1191,A. Dragović,CB,77,8000000
1216,Arbilla,CB,77,5500000
1220,L. Tonelli,CB,77,7500000
1221,E. Bičakčić,CB,77,7500000
1223,Luís Neto,CB,77,6500000
1227,V. Chiricheș,CB,77,7500000
1228,S. Ristovski,RB,77,8000000
1230,Marçal,LB,77,7000000
1235,Nacho,LB,77,7000000
1237,L. López,CB,77,7500000
1238,M. Casco,LB,77,6500000
1241,J. Palomino,CB,77,7500000
1245,Gazzolisco,LB,77,6500000
1246,Vieirundinho,CB,77,6500000
1251,S. Luna,RB,77,0
1253,J. Monsario,CB,77,0
1261,K. Tierney,LB,76,11000000
1262,G. Mancini,CB,76,11500000
1266,E. N'Dicka,CB,76,11000000
1269,J. Koundé,CB,76,11500000
1281,F. Benković,CB,76,11000000
1286,M. Çelik,RB,76,10000000
1293,M. Sarr,CB,76,10500000
1294,E. Álvarez,CB,76,10500000
1305,R. Holding,CB,76,10000000
1306,W. Anton,CB,76,10000000
1311,A. Franco,CB,76,10000000
1312,N. Milenković,CB,76,10000000
1313,Unai Núñez,CB,76,10000000
1314,B. Engels,CB,76,9500000
1317,D. Ćaleta-Car,CB,76,9500000
1318,F. Guilbert,RB,76,9500000
1324,T. Hernández,LB,76,9500000
1326,Y. Osorio,CB,76,9500000
1329,L. Augustinsson,LB,76,9000000
1332,Rúben Semedo,CB,76,9000000
1333,S. Gigot,CB,76,9000000
1336,Rubén Duarte,LB,76,9000000
1340,A. Barboza,CB,76,9500000
1343,S. Denswil,CB,76,9000000
1350,Wallace,CB,76,9000000
1355,D. Reyes,CB,76,8500000
1356,N. Araújo,CB,76,8500000
1362,C. Taylor,LB,76,8500000
1363,S. Kverkvelia,CB,76,8500000
1367,R. Khedira,CB,76,8500000
1369,A. Masuaku,LB,76,8500000
1370,D. Yedlin,RWB,76,8500000
1377,A. Briançon,CB,76,8500000
1379,Bustinza,CB,76,8500000
1381,Dalbert,LB,76,8500000
1383,Pablo Santos,CB,76,8500000
1384,V. Coufal,RB,76,8500000
1387,E. Mangala,CB,76,8000000
1390,D. Heintz,CB,76,8500000
1393,S. Widmer,RB,76,8000000
1395,M. Jørgensen,CB,76,7500000
1397,T. Kolodziejczak,CB,76,8000000
1400,P. Jansson,CB,76,7500000
1406,Cédric,RB,76,7500000
1411,Alberto Moreno,LB,76,8000000
1414,Paulo Oliveira,CB,76,8000000
1416,Ricardo Esgaio,RB,76,8000000
1418,Y. Gómez Andrade,CB,76,8000000
1423,P. Jagielka,CB,76,1600000
1424,B. Schweinsteiger,CB,76,2900000
1426,H. Kaldırım,LB,76,6500000
1432,R. Klavan,CB,76,3600000
1436,O. Wendt,LB,76,3500000
1444,Y. Zhirkov,LB,76,0
1449,Léo Matos,RB,76,3500000
1456,D. Basta,RB,76,2700000
1459,S. Bocchetti,CB,76,4900000
1465,J. Maidana,CB,76,3600000
1467,S. Bamba,CB,76,2900000
1470,W. Reid,CB,76,6000000
1471,D. Chygrynskyi,CB,76,4900000
1476,F. Lustenberger,CB,76,5500000
1478,Vieirinha,LB,76,3500000
1486,C. Cathcart,CB,76,6000000
1492,R. Rosales,RB,76,6000000
1497,F. Roncaglia,CB,76,4900000
1498,K. Papadopoulos,CB,76,7000000
1499,M. Lang,RB,76,6500000
1500,N. Sánchez,CB,76,3600000
1504,P. van Aanholt,LB,76,6500000
1507,T. Gebre Selassie,RB,76,4800000
1509,Kiko Olivas,CB,76,6000000
1514,Diogo Viana,RB,76,6500000
1516,M. Schmelzer,LB,76,5500000
1517,Miguel Lopes,RB,76,4800000
1520,A. Cresswell,LB,76,6500000
1522,Kiko Femenía,RB,76,6500000
1525,T. Jantschke,CB,76,6500000
1529,K. Théophile-Catherine,CB,76,6500000
1530,A. Smith,RB,76,6500000
1533,Júnior Caiçara,RB,76,6000000
1537,N. Viergever,CB,76,6500000
1541,Montoya,RB,76,6500000
1548,Mexer,CB,76,6000000
1550,D. Boyata,CB,76,7000000
1553,Raúl Navas,CB,76,5500000
1559,C. Schindler,CB,76,6500000
1560,Juan Jesus,CB,76,7000000
1564,F. Fernández,CB,76,6000000
1565,Aleix Vidal,RB,76,6500000
1567,J. Bořil,LB,76,6500000
1571,Toño García,LB,76,6500000
1575,Y. Abdelhamid,CB,76,5500000
1576,G. González,CB,76,5500000
1577,D. Siovas,CB,76,6000000
1578,E. Mena,LB,76,6000000
1582,O. Duarte,CB,76,6000000
1585,Sequeira,LB,76,6500000
1593,Alexo Baia,RB,76,5500000
1594,Juli Freitinho,CB,76,5500000
1595,Eltildo Correia,CB,76,7000000
1599,Andeson Trigo,LB,76,5500000
1600,Victildinho,RB,76,2200000
1601,Davi Parrela,CB,76,5500000
1604,Rafael Cachoira,CB,76,5500000
1609,G. Ichazo,CB,76,0
1613,A. Aguilmera,CB,76,0
1614,K. Berlaso,RB,76,0
1623,B. Kamara,CB,75,10000000
1631,Diogo Dalot,RB,75,10000000
1633,P. Retsos,CB,75,10000000
1639,A. Maitland-Niles,RWB,75,9500000
1641,L. Martínez Quarta,CB,75,9500000
1643,J. Lucumi,CB,75,9500000
1650,Ivanildo Fernandes,CB,75,9500000
1653,B. Henrichs,RB,75,9000000
1662,K. Omeruo,CB,75,8500000
1665,T. Jedvaj,CB,75,8500000
1667,Y. Koné,LB,75,8500000
1675,G. Montiel,RB,75,8500000
1681,M. Saracchi,LB,75,8500000
1683,M. Burda,CB,75,8500000
1685,M. Kempf,CB,75,8000000
1688,K. Akpoguma,CB,75,8000000
1694,G. Conti,CB,75,8000000
1695,M. Veljković,CB,75,8000000
1700,M. Holgate,RB,75,8000000
1702,E. Velázquez,CB,75,8000000
1703,M. Niakhaté,CB,75,8000000
1708,F. Sacko,RB,75,8000000
1710,K. Amian,RB,75,8000000
1711,J. Gnagnon,CB,75,8000000
1712,F. Uduokhai,CB,75,8500000
1713,G. Konan,LB,75,8000000
1714,E. Cabaco,CB,75,8000000
1723,T. Foket,RB,75,8000000
1724,T. Kędziora,RB,75,8000000
1731,L. Olaza,LB,75,8000000
1732,A. Long,CB,75,8000000
1733,R. Karsdorp,RB,75,8000000
1735,T. Baumgartl,CB,75,8000000
1736,M. Wolf,RB,75,8000000
1745,F. Ricca,LB,75,8000000
1746,Bernardo,LB,75,8000000
1748,Marcão,CB,75,8000000
1749,D. Bronn,CB,75,8000000
1751,Martín,RB,75,8000000
1753,Rodrigo Ely,CB,75,7500000
1754,T. Kongolo,CB,75,7500000
1757,V. Lazaro,RB,75,7500000
1759,W. Troost-Ekong,CB,75,7500000
1762,W. Hoedt,CB,75,7500000
1772,G. Shoji,CB,75,7500000
1781,L. González Pirez,CB,75,7000000
1784,K. Stafylidis,LWB,75,7500000
1788,J. Willems,LWB,75,7500000
1792,Clinton Mata,RB,75,7000000
1807,Álex Moreno,LB,75,7000000
1815,C. Borja,LB,75,7000000
1818,Rodrigo,RB,75,7000000
1823,J. Svensson,RB,75,7000000
1824,C. Biraghi,LB,75,7000000
1825,K. Djidji,CB,75,7000000
1828,J. Brenet,LWB,75,7000000
1829,André Ramalho,CB,75,7000000
1830,R. Haps,LB,75,7000000
1831,L. Magallán,CB,75,7000000
1833,Jemerson,CB,75,7000000
1835,K. Laifis,LB,75,7000000
1837,C. Clark,CB,75,6500000
1838,M. Kelly,CB,75,6500000
1839,S. Dewaest,CB,75,6500000
1840,T. Kádár,CB,75,6500000
1842,O. Elabdellaoui,RB,75,6500000
1845,J. Tavernier,RB,75,6500000
1851,P. Dummett,CB,75,6500000
1852,B. Sarr,RB,75,6500000
1856,S. Kryvtsov,CB,75,6500000
1858,S. Mitrović,CB,75,6500000
1860,C. Günter,LB,75,7000000
1862,A. Hegazi,CB,75,6500000
1865,J. Mojica,LWB,75,7000000
1866,Y. Sabaly,RB,75,7000000
1868,M. Mevlja,CB,75,0
1869,H. Traoré,RB,75,6500000
1870,Zaldúa,RB,75,6500000
1887,S. Francis,CB,75,2500000
1888,W. Morgan,CB,75,2000000
1891,J. Morel,CB,75,2000000
1894,P. Zabaleta,RB,75,2300000
1896,G. Gönül,RB,75,2300000
1903,S. Dann,CB,75,4300000
1908,L. Baines,LB,75,2300000
1909,D. Congré,CB,75,2500000
1913,G. Cabral,CB,75,3100000
1919,Barragán,RB,75,4100000
1925,C. Erkin,LB,75,5500000
1926,H. Ayala,CB,75,4300000
1930,A. Mariappa,CB,75,4300000
1934,Manuel da Costa,CB,75,3100000
1947,A. Epureanu,CB,75,4300000
1948,A. Ranocchia,CB,75,4900000
1949,M. Tekdemir,CB,75,4900000
1952,H. Nordtveit,CB,75,5500000
1957,S. Langkamp,CB,75,4900000
1958,L. Koné,CB,75,5500000
1960,R. Thomas,CB,75,4900000
1962,M. Darmian,LB,75,5500000
1967,I. Traoré,CB,75,4300000
1969,K. Gibbs,LB,75,5500000
1972,M. Ritchie,LWB,75,5500000
1973,B. Espinosa,CB,75,5500000
1976,V. Vasin,CB,75,5500000
1977,M. Isla,RB,75,4800000
1983,D. Brosinski,RB,75,5500000
1988,João Aurélio,RB,75,5500000
1989,B. Oczipka,LWB,75,5500000
1991,D. Santon,RB,75,5500000
1998,M. Gulde,CB,75,6000000
2002,Dídac Vilà,LB,75,5500000
2004,M. Yoshida,CB,75,5500000
2005,L. Rodríguez,RB,75,5500000
2010,H. Badstuber,CB,75,5500000
2023,Y. Nagatomo,LB,75,4100000
2025,C. Dawson,CB,75,5500000
2026,Tiago Pinto,LB,75,4800000
2028,Javi López,RB,75,3000000
2032,Ximo Navarro,CB,75,5500000
2036,O. Murillo,CB,75,4900000
2039,D. D'Ambrosio,RB,75,5500000
2040,M. Lowton,RB,75,5500000
2053,J. Schmid,RB,75,5500000
2056,T. Chandler,RB,75,5500000
2064,Eric Botteghin,CB,75,4900000
2067,F. Novák,LB,75,5500000
2068,Luís Hernández,CB,75,5500000
2070,Lucas Lima,LB,75,6000000
2081,L. Vangioni,LB,75,4100000
2086,Postigo,CB,75,5500000
2087,E. Mas,LB,75,5500000
2088,B. Bianchi,CB,75,5500000
2090,J. Buffarini,RB,75,5500000
2095,Zainadine,CB,75,4900000
2102,Silas Almeim,LB,75,6000000
2103,Caio Nunson,CB,75,4900000
2104,Otávio Cairinho,CB,75,6000000
2108,Lafortiscinho,LB,75,6000000
2109,Kaimo Lima,CB,75,2000000
2132,J. Foyth,CB,74,9000000
2133,M. Demiral,CB,74,9000000
2134,O. Kabak,CB,74,8500000
2136,Z. Vanheusden,CB,74,8500000
2146,Rodrigo Becão,CB,74,8500000
2147,Adrià Pedrosa,LB,74,8000000
2162,M. Olivera,LB,74,8000000
2165,Iago,LB,74,8000000
2166,Róber,CB,74,7500000
2169,Pablo Maffeo,RWB,74,7500000
2172,K. Ajer,CB,74,7500000
2176,Lato,LB,74,7500000
2177,C. Söyüncü,CB,74,7500000
2178,Joaquín,CB,74,7500000
2184,M. Pongračić,CB,74,7500000
2188,L. Giannetti,CB,74,7000000
2189,Marlon,CB,74,7000000
2195,P. Cissé,CB,74,7000000
2196,T. Cardona,CB,74,7000000
2197,M. Degenek,CB,74,0
2201,C. Awaziem,CB,74,7000000
2202,Pedro Rebocho,LB,74,7000000
2205,J. Stephens,CB,74,7000000
2215,K. Adams Nuhu,CB,74,7000000
2216,K. Walker-Peters,RB,74,7000000
2219,J. Aidoo,CB,74,7000000
2221,Pol Lirola,RB,74,7000000
2222,C. Goldson,CB,74,6500000
2227,Kévin Rodrigues,LB,74,6500000
2228,I. Kutepov,CB,74,6500000
2229,R. Durmisi,LB,74,6500000
2230,J. O'Connell,CB,74,6500000
2231,I. Lichnovsky,CB,74,6500000
2233,J. Silva,LWB,74,6500000
2238,J. Alonso,CB,74,6500000
2239,A. Barreca,LB,74,6500000
2242,A. Masina,LB,74,6500000
2243,Caju,LB,74,6500000
2245,J. St. Juste,CB,74,7000000
2246,A. Touré,RB,74,6500000
2247,William,RB,74,6500000
2251,B. Gibson,CB,74,6500000
2253,P. Gouano,CB,74,6500000
2255,A. Webster,CB,74,6500000
2256,E. Krafth,RB,74,6500000
2257,Dória,CB,74,6500000
2258,A. Baba,LB,74,6500000
2260,Manquillo,RWB,74,6500000
2262,T. Mings,CB,74,6500000
2263,J. Amavi,LB,74,6500000
2265,F. Hadergjonaj,RB,74,6500000
2268,A. Hack,CB,74,6500000
2271,D. Hovorka,CB,74,6500000
2283,D. Arslanagic,CB,74,6000000
2284,J. Egan,CB,74,6000000
2294,S. van Beek,CB,74,6500000
2301,M. Tisserand,CB,74,6000000
2303,Chema Rodríguez,CB,74,6000000
2304,K. Lawrence,LB,74,6000000
2314,T. Holeš,RB,74,6000000
2316,Daniel Ayala,CB,74,5500000
2317,J. Bruma,CB,74,6000000
2319,Jordi Amat,CB,74,6000000
2320,G. Trauner,CB,74,6000000
2322,E. Dilaver,CB,74,5500000
2325,R. Fredericks,RB,74,6000000
2327,S. Falette,CB,74,6000000
2329,F. Helander,CB,74,6000000
2330,D. Dessoleil,CB,74,6000000
2331,T. Letschert,CB,74,6000000
2335,Diego Rico,LB,74,6000000
2337,B. Valdez,CB,74,6000000
2338,Maurício,CB,74,6000000
2342,L. Cooper,CB,74,5500000
2345,S. Bell,CB,74,5500000
2346,T. Sainsbury,CB,74,5500000
2348,E. Sviatchenko,CB,74,5500000
2355,F. Hübner,CB,74,5500000
2357,T. Delaine,LB,74,5500000
2362,E. Durm,LB,74,5500000
2365,C. Lema,CB,74,5500000
2369,T. Hlatshwayo,CB,74,0
2376,G. Ferrari,CB,74,5500000
2377,M. Trauco,LB,74,5500000
2380,Felipe,CB,74,2100000
2383,Ricardo Costa,CB,74,1100000
2388,R. Hubník,CB,74,1700000
2391,C. Maggio,RB,74,1000000
2399,W. Janssen,CB,74,3600000
2404,D. Limberský,LB,74,1600000
2405,C. Davies,CB,74,2100000
2408,R. Vlaar,CB,74,2100000
2411,A. Ulmer,LB,74,2500000
2412,F. Bastians,CB,74,4200000
2413,P. Aguilar,RB,74,2500000
2417,Crespo,CB,74,3600000
2421,L. Antonelli,LB,74,3500000
2424,Baiano,RB,74,3500000
2430,Nuno Coelho,CB,74,4200000
2431,B. Jokič,LWB,74,0
2432,T. Reginiussen,CB,74,2700000
2437,G. Bong,LB,74,4100000
2440,P. Baysse,CB,74,4200000
2448,Titi,CB,74,4200000
2450,A. Chedjou,CB,74,2100000
2453,A. Bjelland,CB,74,4600000
2461,J. Chester,CB,74,4600000
2462,J. van der Heijden,CB,74,4200000
2463,F. Navarro,RB,74,4400000
2467,R. Halliche,CB,74,3600000
2469,S. Morrison,CB,74,4900000
2470,C. Zambrano,CB,74,0
2472,Juanfran,RB,74,4400000
2473,L. Balogun,CB,74,4200000
2474,B. Ecuélé Manga,CB,74,4600000
2475,B. Poulain,CB,74,4200000
2482,D. Diekmeier,RB,74,4600000
2486,Alcalá,CB,74,4600000
2487,Balenziaga,LB,74,4100000
2488,S. Sunzu,CB,74,4600000
2492,I. Opara,CB,74,4600000
2493,M. Caruzzo,CB,74,2100000
2497,P. Pekarík,RB,74,3500000
2501,S. Corchia,RB,74,4800000
2502,G. Schennikov,LWB,74,4800000
2503,N. Hult,LB,74,4600000
2504,L. Sané,CB,74,3600000
2509,E. Stevens,LWB,74,4800000
2511,A. Nyom,RWB,74,4100000
